Rayon,Grp de famille,Famille,Sous famille,DT,DR,Magasin,Barcode,Produit,Assort-typo,Nb jours sans ventes,Motif non détention,Stock UG,SMP,VMH mag,VMH nat,CA TTC mag 3 mois,CA TTC moy 3 mois Market,Potentiel gain mensuel
01 - EPICERIE,160 - PRODUITS CHIENS,160 - PRODUITS POUR CHIENS,160002 - PRODUITS SECS POUR CHIENS,DTF NORD EST,PAS DE CALAIS F,ABBEVILLE -AMIENS,7613287007025,12KG CROQ MIX ADULT POULE FIDO,DPK-2,null,Dépicking,0,1,null,3.570593485,null,961.183378768,320.394459589
01 - EPICERIE,155 - PRODUITS DIETETIQUES,155 - PRODUITS DIETETIQUES BIO,155032 - BIO TOUT POUR APERITIF,DTF NORD EST,PAS DE CALAIS F,ABBEVILLE -AMIENS,3560070379736,200G CRACKER FRO GNE CRGE BIO,DPK-1,null,Dépicking,0,3,null,2.376917785,null,112.844829622,37.614943207
01 - EPICERIE,070 - CHIPS,070 - CHIPS,070004 - CHIPS AUTRES,DTF NORD EST,PAS DE CALAIS F,ABBEVILLE -AMIENS,3497917002451,120G BRETS CHIPS SARRASIN SEL,DPK-1,101,Dépicking,0,1,null,2.858333333,null,151.593312034,50.531104011
01 - EPICERIE,105 - HUILES,105 - HUILES,105005 - OLIVE,DTI NORD NORMANDIE,NORD  NORMANDIE R4 I,ABBEVILLE -CORDELIER,6191509910014,75CL H.OLIVE ZRP T.DELYSSA,DPK-2,null,Dépicking,0,4,null,1.83672956,null,215.239485816,71.746495272
01 - EPICERIE,135 - CONSERV.&HORS D'OEUV. POISSONS,135 - CONSERV.&HORS D'OEUV. POISSONS,135002 - THON,DTF NORD EST,AUVERGNE F,AIGUEPERSE -CLERMONT,3560070811762,3 X 1/4 THON ALBACO PREC CRF C,DPK-1,10,Dépicking,0,12,3.733333333,7.483393829,218.94,399.239503578,133.079834526
01 - EPICERIE,166 - ETHNIQUE,166 - ETHNIQUE,166003 - PRDTS EXOTIQUES AMERIQUE,DTF NORD EST,AUVERGNE F,AIGUEPERSE -CLERMONT,3560071517441,620G TORT BLE WRA NAT X10 CRF,DPK-2,186,Dépicking,0,1,null,10.526265271,null,324.325984536,108.108661512
01 - EPICERIE,166 - ETHNIQUE,166 - ETHNIQUE,166002 - PRDTS EXOTIQUES ASIE,DTF NORD EST,AUVERGNE F,AIGUEPERSE -CLERMONT,8886303210238,200ML LAIT DE NOIX COCO KARA,DPK-2,356,Dépicking,0,3,null,15.622514928,null,269.820110532,89.940036844
01 - EPICERIE,155 - PRODUITS DIETETIQUES,155 - PRODUITS DIETETIQUES BIO,155006 - BIO CAFE,DTF GRAND OUEST,SUD OUEST F,AIRE S/L'ADOUR,3700110003713,1KG CAFE PUR ARABICA GR BIO,DPK-1,null,Dépicking,null,1,null,1.908540256,null,405.987503198,135.329167733
01 - EPICERIE,010 - BISCUITS SUCRES,010 - BISCUITS SUCRES,010001 - BISCUITS AUX OEUFS,DTF SUD EST,MRS-AVI F,AIX EN PRO -LAPIERRE,3178530404678,250G BISCUITS CUILLERE BONNE M,DPK-2,614,Dépicking,null,1,null,5.399447154,null,292.8549343,97.618311433
01 - EPICERIE,010 - BISCUITS SUCRES,010 - BISCUITS SUCRES,010006 - ASSORTIMENTS,DTF SUD EST,MRS-AVI F,AIX EN PRO -LAPIERRE,3116430058164,500G BT CARTON TEA TIME DELACR,DPK-2,189,Dépicking,null,1,null,3.272966424,null,327.189442191,109.063147397
01 - EPICERIE,070 - CHIPS,070 - CHIPS,070001 - CHIPS NATURES,DTF SUD EST,MRS-AVI F,AIX EN PRO -LAPIERRE,3560070621347,6X30G CHIPS ONDULEES NATURE,DPK-2,61,Dépicking,0,2,null,7.912183236,28.28,190.632509381,63.544169794
01 - EPICERIE,070 - CHIPS,070 - CHIPS,070001 - CHIPS NATURES,DTF SUD EST,MRS-AVI F,AIX EN PRO -LAPIERRE,3497917000136,250G CHIPS NAT PAYSANNE BRET'S,DPK-2,489,Dépicking,-16,1,null,6.523079968,null,198.181352113,66.060450704
01 - EPICERIE,070 - CHIPS,070 - CHIPS,070002 - CHIPS AROMATISEES,DTF SUD EST,MRS-AVI F,AIX EN PRO -LAPIERRE,3497917002789,125G CHIPS BEURRE SALE BRETS,DPK-2,649,Dépicking,null,1,null,7.658730159,null,188.497893258,62.832631086
01 - EPICERIE,161 - PRODUITS CHATS,161 - PRODUITS POUR CHATS,161002 - PRODUITS SECS POUR CHATS,DTF SUD EST,MRS-AVI F,AIX EN PRO -LAPIERRE,3560071001575,"7,5KG CROQ POULET/LEG CHAT CRF",DPK-1,251,Dépicking,null,2,null,3.783073852,null,485.677098214,161.892366071
01 - EPICERIE,070 - CHIPS,070 - CHIPS,070001 - CHIPS NATURES,DTF SUD EST,MRS-AVI F,AIX EN PRO -LAPIERRE,3497911119148,6X25G BRET'S NAT LA CRAQUANTE,DPK-2,35,Dépicking,0,1,null,5.296385542,34.97,168.893308351,56.29776945
